pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
AMIT_EGF_RESPONSE_480_HELA	0.000183992640294388	0.0133034418922201	-0.435567760381839	-1.8350111895616	0	89	TUBB4B|MYO9B|SPHK1|RRBP1|HMGXB3|SLC19A1|PHLDA2|RRP1|CTNNB1|TNFRSF12A|YJU2|MAP2K3|ARHGDIA|GAK|DAPK3|TOR4A|PCGF2|TMEM158|ZFP36L2|EHD1|PLEC|PDLIM7|RELA|BRD2|POM121|NCLN|DIAPH1|TRAF4|RANGAP1|RRP12|ABHD2|CCND3|MTA1|PPIF|PGAP6|TUBB2A|LAMP1|CDV3|CAMSAP1|EFHD2|ACTN1|SLC25A37|SNRPF
BAE_BRCA1_TARGETS_UP	0.000212720697723889	0.0133034418922201	0.562602782265309	2.11683266768621	0	45	IFRD1|ANXA1|AARS1|LAMP2|VEGFA|TCEA1|MGST1|NET1|ATF4|MSMO1|SAT1|TAX1BP1|HACD3|CNBP|BTG1|EPHX2
BAELDE_DIABETIC_NEPHROPATHY_DN	0.000224870699347875	0.0133034418922201	0.39269021836496	1.90700329015868	0	192	MTHFD2|WARS1|ANXA1|G0S2|NBN|CD55|LETMD1|VEGFA|CITED2|XBP1|EPS15|PDE4DIP|ATXN10|ACTR3|GADD45A|TSPAN3|MTX2|GLUL|STX7|HSPA5|TEAD4|RDX|TMEM123|CAPN2|TAX1BP1|CD47|DUSP1|TMED5|PRKAR1A|MYL12A|CTNNA1|PLSCR1|PAPSS1|NMI|IARS1|NAMPT|ADD3|DCTD|EIF3M|EIF4A2|VPS26A|TMED10|USP9X|RAD23B|RABGAP1L|CD164|AASDHPPT|SEPTIN2|ARL1|RGS10|TOMM20|UAP1|VIM|SARAF|HNRNPA1|OPTN|ACADM|PDIA3|SLK|PRDX6|CANX|CAST|NFE2L1|TUSC3|ACSL3|SEPTIN11|CTNNBIP1|CYP51A1|TMX4|MSH2|RAI14|SART3|SSBP2|KIF5B|SUB1|ATP2A2|HNRNPA3|GYG1|HNRNPDL|CALU|NR3C1|N4BP1|CCDC6|AP3B1
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN	0.000214041095890411	0.0133034418922201	0.685502745479116	2.70848704413964	0	56	CTH|SESN2|PSAT1|TRIB3|MTHFD2|CEBPG|ZFAND1|HERPUD1|IFRD1|GARS1|CCNB1IP1|AARS1|ZNF277|RCSD1|DNASE2|EPRS1|SARS1|ATF4|NOA1
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	0.00021137180300148	0.0133034418922201	0.529405933617572	1.96245467498258	0	42	CTH|CHAC1|ATF3|PCK2|PMAIP1|G0S2|BBC3|FUT1|PNPT1|BCAT1|GADD45A|DUSP1|PPP1R15A|KLF6|EIF2AK2
BLUM_RESPONSE_TO_SALIRASIB_UP	0.000223164472216023	0.0133034418922201	0.576368996889477	2.73854397077271	0	165	CTH|PSAT1|ATF3|TRIB3|MTHFD2|CEBPG|PHGDH|IFRD1|CNIH1|GFPT1|WARS1|ATF5|GARS1|CCNB1IP1|GTPBP2|CARS1|USP25|AARS1|TNFRSF10B|LAPTM4A|RSL24D1|UBE2H|MDM4|GOT1|CD55|MARS1|SIAH2|XPOT|RNF14|EPRS1|SEC63|TCEA1|TARS1|ARF4|BCAT1|CBX4|COX7A2L|EIF1B|SARS1|GADD45A|ATF4|TIMM9|HSPA9|EIF1|RALA|NARS1|SCFD1|EIF2S2|ARHGEF2|PPP1R15A|ATF6|SUPV3L1|EIF4EBP1|ERP29|SSR3|IARS1|NAMPT|MTIF2|RAB32|DCTD|GHITM|USP3|CHIC2|TOM1L1|AZI2|COG5|EIF3H|GOLGA4|HMGCL|RTCA|CDK13|BTG1|ANXA7|NIT1|RAB5A|COX10|MAP1LC3B|KCMF1|VIM|SHMT2
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_DN	0.000174978127734033	0.0133034418922201	-0.33023420150587	-1.67078810109045	0	335	POLR2L|NXF1|POLR1G|EXOSC4|SAC3D1|NDUFA3|TIMM8B|DPM3|GEMIN4|UQCR10|ID1|CHST2|H2AX|KANK2|CXXC1|CCNF|KIFC1|SRF|LAGE3|HMOX2|PAQR4|HELLS|TUSC2|DTYMK|AMD1|PITX1|B3GAT3|ISG15|CDCA3|SZRD1|BIRC5|RRS1|RRAGA|MAT2A|AURKB|NDUFB7|KIF18B|MCM10|APEX2|METTL13|ICAM3|ENDOG|ATP5MC1|CCNE1|DNAAF2|HES1|IMP3|PRMT7|SPTSSA|ELOA|GINS4|LMNB2|STX10|YLPM1|RPS6KB2|SPC25|ELP5|BIN3|CCDC85B|SCAND1|AURKA|DCAF8|ZNRD2|BAG5|FANCA|INTS5|SNU13|TGIF2|EHMT2|PGP|HEXIM1|NASP|RNASET2|TMEM160|UTP3|ALDH1B1|USB1|PAGR1|M6PR|TIMM8A|NTHL1|PPM1F|CCND3|POLR2I|ICMT|DCTPP1|VOPP1|PIP4K2B|POLR3K|FHOD1|MRPS11|ETFB|TMEM109|THAP11|FIRRM|SURF2|MKI67|EBP|UBTF|ANKFY1|TIMM10|AP1S1|NDUFS6|SNRNP25|BCL7C|MED22|TRIM14|CYB5A|KIF20A|BRCC3
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_UP	0.000237812128418549	0.0133034418922201	0.319238625138132	1.68208953398295	0	388	CTH|CHAC1|ATF3|TRIB3|DDIT3|MTHFD2|DDIT4|CEBPG|HERPUD1|SLC38A2|KDM4A|GFPT1|GRB10|MXI1|PSPH|GTPBP2|CEBPB|PMAIP1|AARS1|NUDT4|ZNF277|IBTK|SLC39A14|PIM1|HBP1|PTBP3|GDF15|UBE2H|CD55|VEGFA|CITED2|KLF3|RPS6KC1|PDCD4|RIPK2|IQCB1|RSRC2|ARIH1|GGPS1|PDE4DIP|RSF1|NFE2L2|GADD45A|ATF4|PHF3|TMF1|EIF1|STAG2|OSBPL2|CYTH2|TFDP2|F11R|ATF7IP|ARHGEF2|PRRC1|SAT1|ZNF282|DLGAP4|AK6|ADAM17|DUSP1|PPP1R15A|SLC3A2|TMED5|CIR1|KLF6|CDR2|MED13L|MLF1|WDR48|NAMPT|SPTLC2|PLIN2|SYF2|TBC1D15|ATP6V1B2|CHIC2|AZI2|FNTA|UBE2B|ATP2B1|MKLN1|MARCHF6|SHTN1|BTG1|CENPJ|RMND5A|UBXN7|COPS2|RAB5A|WAC|GTF2B|H2AC6|AFF4|JMJD1C|AKAP9|RYBP
CHEN_HOXA5_TARGETS_9HR_DN	0.000189933523266857	0.0133034418922201	-0.664143882072687	-2.11848285238374	0	24	CBX6|GEMIN4|H2AX|SYNGR2|FEN1|GLG1|MAT2A|SLC29A1|PAGR1|RTL8C|DDT|EHD2|UBTF|AP1S1|HMGB3
CHEN_HOXA5_TARGETS_9HR_UP	0.000221631205673759	0.0133034418922201	0.443194332464449	1.96816807796755	0	107	CTH|CHAC1|ATF3|CEBPG|IFRD1|THAP9-AS1|CARS1|CEBPB|PMAIP1|TNFRSF10B|ZNF195|SUPT20H|VEGFA|ZCCHC8|RIPK2|ZNF451|RSRC2|ARIH1|PTPN2|PPP1R12A|SAT1|AVL9|NEK1|KLF6|SNX5
